x y
0.09991595 0.031080097
0.09982738 -0.012845276
0.09946064 0.026970036
0.098913215 0.027037863
0.098599434 0.013089012
0.098596476 0.027712144
0.09854656 0.015806193
0.09789293 0.00076535344
0.097776346 0.014024738
0.097691685 0.0006038286
0.09758953 0.08141389
0.097567484 0.021133767
0.09752416 0.02893197
0.09738819 0.06973779
0.09687462 0.02993501
0.09687446 0.030810736
0.09675052 -0.0022782348
0.09670944 0.058162585
0.096313946 0.024411744
0.09626242 -0.014742726
0.09604975 0.045551144
0.09581764 -0.023520585
0.09579539 0.011715308
0.095602065 -0.034837384
0.095494546 -0.0248216
0.09532588 0.03399706
0.09530447 0.027048502
0.095190614 -0.05102477
0.09506232 -0.04585834
0.09499374 -0.038917817
0.094988324 -0.02495296
0.09477603 -0.061522268
0.09451948 -0.048603203
0.094439715 -0.022880848
0.09440151 -0.014963895
0.094275735 -0.085963756
0.093670756 -0.091884054
0.093284644 -0.07351791
0.09296116 -0.05621693
0.092698686 -0.06951561
0.092641145 -0.08385265
0.0925468 -0.016601775
0.09222122 -0.059080597
0.09192545 -0.06991726
0.091582134 -0.06469944
0.09133991 -0.04030731
0.09116137 -0.021546423
0.090976134 -0.0325015
0.09047762 0.038626254
0.09016276 0.040525343
0.09002998 0.016396541
0.09002752 0.044247817
0.089975014 0.014702603
0.08993714 0.021241678
0.0896992 0.050344743
0.08963417 0.03884193
0.08958033 0.011840068
0.08943617 0.03668309
0.0887792 0.04972199
0.08874475 0.08792254
0.088054314 0.09122242
0.08798449 0.044720985
0.08780118 0.02330719
0.0865335 0.0008247411
0.086517505 -0.023037005
0.08624914 -0.043735556
0.08557045 -0.06894016
0.08554485 -0.08240999
0.08553103 -0.026995663
0.0848633 -0.038986355
0.08475003 -0.095739
0.084583275 -0.028525699
0.0845035 -0.051877927
0.08409932 -0.08212201
0.08399474 -0.09951307
0.0837466 -0.06617159
0.083510384 -0.11616169
0.08349475 -0.10926612
0.08348058 -0.07284443
0.08332419 -0.093204096
0.08328559 -0.08847281
0.0832198 -0.07276591
0.083193086 -0.02925979
0.0831241 -0.09099509
0.083053395 -0.04428594
0.082983844 -0.06292532
0.08279281 -0.013845656
0.08264541 -0.08432856
0.08220929 -0.0031872243
0.08154052 -0.03490989
0.08143946 -0.022654047
0.081364 0.058232225
0.08135908 -0.021075089
0.08103802 0.035115153
0.08098742 0.06403567
0.08079411 0.050643045
0.08058718 0.04706445
0.080105506 0.04550407
0.079720855 0.0636494
0.07932145 0.12251051
0.07916723 0.10728721
0.07911254 0.122295424
0.07897172 0.048755348
0.07886049 0.05612904
0.0783035 0.07264596
0.078245506 0.0349252
0.07807541 0.0595719
0.07783038 0.008845488
0.076997094 0.028114513
0.07698891 -0.026536707
0.07664313 0.0034833662
