x y
0.09990233 -0.0053718686
0.09985699 0.015422419
0.099728756 0.017841926
0.09961834 0.050984655
0.099615626 0.024640532
0.099470146 0.07636809
0.09907527 0.00786804
0.09895503 0.07276271
0.098905705 0.042787284
0.098421805 0.050631125
0.0982697 0.02189269
0.097431526 -0.027388435
0.09742849 -0.006810385
0.097332746 0.03993097
0.097213246 0.031815134
0.0968779 0.034710485
0.0967762 -0.0008438425
0.09672534 0.0029890696
0.09671148 0.009402602
0.09650061 0.0018317588
0.096191965 0.01486901
0.0952936 -0.08123414
0.09505655 -0.03723508
0.09498274 -0.03504273
0.094602086 -0.029324207
0.0945895 -0.04987587
0.09434599 -0.06191455
0.09427411 -0.03977183
0.09419775 -0.045221146
0.09401112 -0.050762706
0.09387531 -0.029740073
0.093317375 -0.02024171
0.09329469 -0.045760714
0.093222216 -0.020539694
0.09310525 -0.051045295
0.092528574 -0.018769845
0.09230968 0.00976605
0.09200381 -0.0015424723
0.09174665 0.057947733
0.09171314 -0.008307826
0.09170853 0.01098459
0.09160951 0.029515177
0.09148774 0.051187985
0.09148436 0.01203616
0.09124198 0.0627514
0.09099993 0.05575391
0.09087344 0.08378675
0.090527646 0.08428907
0.09009451 0.0629345
0.0897994 0.03117891
0.08966426 0.034760356
0.08952998 0.08120726
0.08912847 0.025191287
0.08907439 0.07891396
0.08905763 0.022768006
0.08894759 0.059089288
0.0889078 0.03041688
0.08839279 0.043206427
0.088269226 -0.007823968
0.08826077 0.027959999
0.08808167 -0.013535296
0.08765011 -0.029932838
0.08764093 -0.029945515
0.087571636 -0.014403991
0.08745899 -0.05145965
0.08709251 -0.026135776
0.08707939 0.009734595
0.08691954 -0.07179184
0.08683542 -0.05329275
0.0867964 -0.079031475
0.08658978 -0.052370198
0.08643683 -0.038544923
0.08632287 -0.080554806
0.08580881 -0.07975758
0.08561366 -0.08645813
0.08492776 -0.062195428
0.08478068 -0.09644616
0.08477233 -0.09823975
0.084481664 -0.05454287
0.08367406 -0.013018312
0.08356392 0.014213236
0.08337518 -0.04276825
0.08324723 0.002356784
0.082855195 0.028226577
0.082739204 -0.017471775
0.08267959 0.020384476
0.08218703 0.040444292
0.081898235 0.02580592
0.0818672 0.085640386
0.08131499 0.03505153
0.08128526 0.06282749
0.08101041 0.05030965
0.08092222 0.04565931
0.08082666 0.031870585
0.08028494 0.099294856
0.080275804 0.099301055
0.08017769 0.05560403
0.08006462 0.08885971
0.07987806 0.04449544
0.079715155 0.025225194
0.07923107 0.048292868
0.0789429 -0.00016142614
0.07889114 -0.017895728
0.07860293 0.0071636233
0.07831407 0.019556407
0.07818892 -0.03524767
0.07816165 -0.04583435
0.07809857 0.0052987467
0.07777808 -0.034993056
0.077659495 -0.04745913
0.07658755 -0.08654201
0.07656988 -0.065797776
0.07649201 -0.08054781
0.0762781 -0.12791632
0.076038025 -0.12531415
0.07596791 -0.0792003
0.07588373 -0.1180876
0.07583608 -0.10742102
0.07559771 -0.07305385
0.07542552 -0.088416725
0.075402044 -0.07042688
0.07483321 -0.026956823
0.074388646 -0.050660655
0.07346731 0.044578385
0.07335931 0.03600492
0.07322659 0.006474171
0.0731344 0.042325027
0.07312137 0.058433022
0.07308498 0.081890084
0.07306677 0.04588857
0.072463 0.090621516
0.072405815 0.08284074
0.07239315 0.045414258
0.07215717 0.053381577
0.07202926 0.08776684
0.071853556 0.08605622
0.071824044 0.0823146
0.07173416 0.057517156
0.07160455 0.12756374
0.07092532 0.08257122
0.07091568 0.07744303
0.07088162 0.09955656
0.07026282 0.055482633
0.07023465 0.0653178
0.07016738 0.0101642385
0.06982084 0.007644344
0.06981979 0.015019326
0.06943237 0.021169553
0.06923807 -0.023278324
0.06901949 -0.022536917
0.068622276 -0.09671317
0.06838943 -0.033252854
0.06789011 -0.13100587
0.067448966 -0.073689416
0.06735663 -0.15362658
0.06686312 -0.0904195
0.06664207 -0.13073973
0.066496365 -0.13585232
0.06642794 -0.09408517
0.06607922 -0.06356481
0.06576274 -0.05403145
0.06542321 -0.045906533
0.06528997 -0.051321816
0.06497954 0.010342659
0.06494862 -0.0032342235
0.064923964 -0.030707868
0.06481331 0.022310065
0.064346865 0.060520813
0.063973434 0.103323534
0.06391352 0.10295345
0.06311505 0.1508487
0.062896766 0.08581105
0.06279359 0.16657369
0.0626077 0.16695054
0.06202665 0.13674627
0.061675068 0.07985264
0.061445203 0.1168631
